product_name,units_sold,product_revenue
Google Pocket Bluetooth Speaker,104,2303.951944
Google Power Bank,67,2275.758229
Google Women's Vintage Hero Tee White,139,2267.649667
Google Women's Quilted Insulated Vest Black,33,2267.117494
Gift Card - $25.00,80,2262.999994
YouTube Men's Short Sleeve Hero Tee Black,123,2235.721854
Colored Pencil Set,750,2227.616161
Android Men's  Zip Hoodie,43,2179.991333
Google Vintage Henley Grey/Black,76,2140.281766
Google Doodle Decal,725,2112.290449
Google Bongo Cupholder Bluetooth Speaker,45,2101.924904
Google Stretch Fit Hat M/L Navy,124,2097.676665
YouTube Youth Short Sleeve Tee Red,109,2079.907493
Google Executive Umbrella,75,2066.475466
Micro Wireless Earbud,53,2061.952069
Android Toddler Short Sleeve T-shirt Pink,135,2049.893935
Google Men's Vintage Badge Tee Sage,213,2002.785042
Insulated Bottle,102,1959.811628
Google Leather Perforated Journal,133,1937.359536
Google Onesie Green,96,1920.853728
Google Insulated Stainless Steel Bottle,100,1919.523587
Google Onesie Royal Blue,107,1918.412421
Google Women's Short Sleeve Hero Tee Heather,101,1914.606665
Metal Earbuds with Small Zipper Case,188,1914.082902
Gel Roller Pen,573,1902.59002
Waterproof Gear Bag,38,1894.512177
Suitcase Organizer Cubes,120,1883.99728
Google Women's Vintage Hero Tee Lavender,142,1877.954038
22 oz Android Bottle,646,1859.551865
Color Changing Grip Pen,1335,1832.695883
YouTube Notebook and Pen Set,357,1819.084519
Google Zipper-front Sports Bag,106,1784.977513
8 pc Android Sticker Sheet,910,1783.775416
Google Men's Airflow 1/4 Zip Pullover Black,42,1774.557675
Google Men's Vintage Badge Tee White,181,1750.56446
Google Slim Utility Travel Bag,150,1735.054832
YouTube Trucker Hat,92,1722.064572
Google Onesie Red,76,1706.065776
Google Women's Vintage Hero Tee Black,184,1688.011067
Google Men's Short Sleeve Hero Tee Heather,85,1619.725424
Google Youth Baseball Raglan Heather/Black,73,1611.292318
Android Lifted Men's Short Sleeve Tee Blue,83,1609.695594
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,133,1601.098886
Gunmetal Roller Ball Pen,243,1599.264322
Google Youth Short Sleeve T-shirt Royal Blue,85,1583.966665
Android 17oz Stainless Steel Sport Bottle,104,1577.799153
Android Toddler Short Sleeve T-shirt Pewter,94,1576.37825
Metal Texture Roller Pen,126,1569.198654
Google Wool Heather Cap Heather/Navy,64,1566.303019
Bottle Opener Clip,463,1559.451484
Google Collapsible Duffel Black,75,1559.275835
Rainbow Stylus Pen,1029,1559.251759
Keyboard DOT Sticker,1033,1553.616363
Android Spiral Journal with Pen,210,1553.388451
Google Youth Short Sleeve Tee Red,83,1551.428901
Google Men's Performance 1/4 Zip Pullover Heather/Black,25,1548.767934
Rocket Flashlight,318,1540.512513
Google Women's 1/4 Zip Jacket Charcoal,19,1514.399003
Google Men's Short Sleeve Performance Badge Tee Navy,84,1512.916913
Google Men's Short Sleeve Performance Badge Tee Pewter,102,1512.448785
Large Zipper Top Tote Bag,51,1511.239098
Google Women's Short Sleeve Performance Tee Navy,94,1502.254403
Satin Black Ballpoint Pen,93,1501.703368
Executive Twist Ballpoint Pen,170,1481.862546
Google Women's Short Sleeve Hero Tee Sky Blue,84,1476.253589
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,82,1471.705937
Google Men's Airflow 1/4 Zip Pullover Lapis,33,1468.990475
Android Sticker Sheet Ultra Removable,490,1459.506842
Basecamp Explorer Powerbank Flashlight,89,1446.460757
Android Youth Short Sleeve T-shirt Aqua,90,1431.046305
Google Men's Skater Tee Grey,98,1430.705776
Google 5-Panel Snapback Cap,86,1428.17537
Android Women's Fleece Hoodie,30,1414.095415
Google Women's Short Sleeve Performance Tee Black,89,1407.7225
Google Stretch Fit Hat S/M Navy,70,1402.662725
YouTube RFID Journal,202,1396.674976
Google Snapback Hat Black,78,1392.674969
Google Youth Girl Hoodie,45,1357.550122
Google Women's Short Sleeve Hero Tee Red Heather,76,1355.22442
YouTube Luggage Tag,163,1341.542891
YouTube Men's Vintage Tank,101,1337.532184
Compact Selfie Stick,176,1313.675244
Google Women's Quilted Insulated Vest White,28,1299.653315
YouTube Men's Vintage Tee,79,1297.165555
Android Luggage Tag,143,1285.512733
Google Collapsible Duffel Blue,61,1284.465585
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,24,1227.702033
UpCycled Handlebar Bag,25,1219.748601
Google Men's Long & Lean Tee Charcoal,224,1218.525391
Google Men's Vintage Tank,76,1202.41156
Android BTTF Moonshot Graphic Tee,65,1188.143167
Google 2200mAh Micro Charger,60,1187.019045
Ballpoint Stylus Pen,271,1179.466463
Retractable Ballpoint Pen Red,987,1173.632107
Google Youth Short Sleeve Tee White,62,1169.736606
Switch Tone Color Crayon Pen,627,1168.036192
Google Women's Scoop Neck Tee Black,116,1157.978007
Women's Weatherblock Shell Jacket Black,19,1154.538601
Android Onesie Sprout Green,66,1149.178885
Google Trucker Hat,53,1148.641399
Android Onesie Gold,49,1139.307615
Google Car Clip Phone Holder,161,1131.150859
Yoga Mat Blue,77,1126.951505
Android Men's Short Sleeve Hero Tee Heather,154,1115.969488
Google Women's Tee Grey,57,1106.971915
Google Accent Insulated Stainless Steel Bottle,47,1098.153262
Google Women's 1/4 Zip Performance Pullover Black,29,1093.857695
Google Men's Short Sleeve Performance Badge Tee Charcoal,50,1090.42942
Android Men's Short Sleeve Tri-blend Hero Tee Grey,76,1085.716494
Google Men's Around The Block Short Sleeve Tee Ash,69,1062.854269
Android Glass Water Bottle with Black Sleeve,82,1055.837286
Google Men's Performance Hero Tee Gunmetal,63,1053.401263
Gift Card- $100.00,10,1049.0
Google Women's Convertible Vest-Jacket Black,25,1044.116816
Android Youth Short Sleeve T-shirt Pewter,56,1041.329594
YouTube Onesie Heather,47,1036.840024
Android Men's Engineer Short Sleeve Tee Charcoal,51,1031.376701
UpCycled Bike Saddle Bag,25,1024.587994
Android 25 oz Green Apple Stainless Steel Bottle,91,1021.519428
Android Journal Book Set,134,1020.029046
Google Men's Skater Tee Charcoal,79,1018.162449
Google Laptop Tech Backpack,24,1011.329047
Android Wool Heather Cap Heather/Black,56,1005.733419
Android Men's Outerstellar Short Sleeve Tee Black,52,1000.94538
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,26,996.476829
Waze Mobile Phone Vent Mount,118,993.287563
Android Men's Pep Rally Short Sleeve Tee Navy,72,978.359868
Android Toddler Short Sleeve T-shirt Aqua,76,978.295224
Google Women's Short Sleeve Badge Tee Navy,87,958.996173
Google Men's Long Sleeve Pullover Badge Tee Heather,28,936.560847
Google Men's 3/4 Sleeve Raglan Henley Grey,38,919.921865
YouTube Men's Vintage Henley,41,912.048771
Android BTTF Cosmos Graphic Tee,46,906.680545
Google Women's Long Sleeve Blended Cardigan Charcoal,38,888.304425
Google Women's Yoga Pants,13,880.296572
Google Men's Convertible Vest-Jacket Pewter,14,878.393333
Aluminum Handy Emergency Flashlight,58,867.777577
Android Onesie Baby Blue,48,863.00333
Android Women's Long Sleeve Blended Cardigan Grey,42,855.203805
Google Toddler Short Sleeve Tee White,52,843.299318
Google Women's Long Sleeve Tee Lavender,47,841.372166
YouTube Men's Short Sleeve Hero Tee White,52,838.721741
Google Men's Short Sleeve Hero Tee Light Blue,47,836.109794
YouTube Wool Heather Cap Heather/Black,37,826.443526
Google Men's Performance Polo Grey/Black,11,802.106665
Waze Dress Socks,92,790.469284
Gift Card - $250.00,3,769.0
Google Toddler Hoodie Royal Blue,23,752.9503
Plastic Sliding Flashlight,143,752.477499
Google 3/4 Sleeve Raglan Badge Henley Black,31,732.453628
Android Men's Take Charge Short Sleeve Tee Purple,58,715.2104
YouTube Women's Short Sleeve Hero Tee Charcoal,41,706.445623
Google 4400mAh Power Bank,21,700.233938
Google Women's Convertible Vest-Jacket Sea Foam Green,13,691.49857
Google Men's Bayside Graphic Tee,38,684.284354
Google Women's Short Sleeve Hero Tee Grey,100,677.292705
Yoga Mat Purple,30,671.644313
7&quot; Dog Frisbee,432,653.619557
Android Men's Long Sleeve Badge Crew Tee Heather,43,648.959821
Google Onesie Red/Graphite,28,646.595247
YouTube Men's Skater Tee Charcoal,44,633.116816
Android Men's Vintage Tank,45,618.794429
Google Women's Short Sleeve Performance Tee Charcoal,19,613.596494
Google Toddler Short Sleeve T-shirt Royal Blue,39,613.235191
Google Women's Scoop Neck Tee White,61,612.674228
Crunch Noise Dog Toy,129,603.491925
Google Toddler Short Sleeve T-shirt Grey,55,602.588702
Google Women's Zip Hoodie Grey,5,596.057142
Google Toddler Short Sleeve Tee Red,37,590.725632
Google Youth Short Sleeve T-shirt Green,46,581.417793
Google Collapsible Pet Bowl,123,573.612984
Android Men's Paradise Short Sleeve Tee Olive,32,572.074867
Google 40 oz Insulated Monster Bottle,17,570.456953
Gift Card - $50.00,10,551.0
Google Men's Colorblock Tee White/Heather,14,550.84095
Google Toddler Raglan Shirt Blue Heather/Navy,26,544.640709
Google Flashlight,10,534.60238
You Tube Toddler Short Sleeve Tee Red,33,528.223361
Waze Mood Original Window Decal,224,522.17589
Android Men's Vintage Henley,31,521.594384
Seat Pack Organizer,50,476.314696
Google Youth Girl Tee Green,27,468.831513
Grip Highlighter Pen 3 Pack,128,468.231444
Google Toddler 1/4 Zip Fleece Pewter,14,456.516836
Softsided Travel Pouch Set,42,421.649044
Google Infant Short Sleeve Tee White,26,416.850339
Google Bluetooth Speaker-Power Bank,6,412.426507
Google Men's Long Sleeve Raglan Cranberry,18,409.167732
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,6,394.495555
Google Men's Long & Lean Tee Grey,40,394.409787
Google Youth Short Sleeve T-shirt Yellow,30,393.005018
Android Heavyweight Long Sleeve Badge Tee Black,9,364.715554
Android Stretch Fit Hat M/L,23,351.281315
Google Women's Vintage Hero Tee Platinum,37,351.074503
Android Men's 3/4 Sleeve Raglan Henley Black,13,333.386662
Waze Men's Short Sleeve Tee,18,330.686664
Android Men's Short Sleeve Hero Tee White,26,328.953731
Google Men's Zip Hoodie,6,315.484444
Android Infant Short Sleeve Tee Pewter,19,301.870782
YouTube Men's Long Sleeve Pullover Badge Tee Heather,9,299.743332
Android Men's Long & Lean Badge Tee Charcoal,47,282.551435
Google Women's Short Sleeve Badge Tee Red Heather,16,279.412399
Google Youth Sports Tee Navy,14,278.910456
Android Stretch Fit Hat,13,275.018204
Yoga Block,26,274.298012
Google Pet Feeding Mat,60,273.944489
Android Men's Skater Badge Tee Charcoal,18,271.950948
Google Women's Short Sleeve Badge Tee Grey,31,255.762056
Waze Baby on Board Window Decal,69,238.888327
Android Lunch Kit,18,237.343403
Google French Terry Cap,13,237.317725
Straw Beach Mat,27,227.676792
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,12,215.627618
Google Infant Short Sleeve Tee Red,13,215.525227
Google Women's Performance Golf Polo Blue,6,197.61857
Google Toddler Sports T-shirt Red,12,187.483333
Google Women's Performance Hero Tee Gunmetal,14,185.126665
Google Women's Scoop Neck Tee Green,10,183.2
Android Hard Cover Journal,13,182.936666
Android Men's Zip Hoodie,3,170.97
Android Infant Short Sleeve Tee Pink,11,168.229999
Waze Men's Typography Short Sleeve Tee,9,163.552856
Android Men's Vintage Tee,9,161.432077
Android Stretch Fit Hat L/XL,9,158.856666
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,11,157.514839
Google Women's V-Neck Tee Charcoal,12,156.96
YouTube Infant Short Sleeve Tee Red,9,153.876666
Waze Pack of 9 Decal Set,8,142.319999
Google Women's Short Sleeve Performance Tee Pewter,12,138.355951
Android RFID Journal,14,128.315102
Google Device Holder Sticky Pad,23,127.534393
Android Women's Racer Back Tank Black,6,125.34
Google Sports Bag,24,120.885
Android Stretch Fit Hat S/M,9,117.983332
Waze Mood Ninja Window Decal,38,115.632601
Google Women's Shell Jacket Blue/Black,2,112.561818
YouTube Men's 3/4 Sleeve Henley,5,110.15
YouTube Men's Long & Lean Tee Charcoal,8,101.67
Carabiner Flashlight,20,100.675
Google Engraved Ceramic Mug,13,99.97
Google Sunglasses Red,28,95.15
Google Infant Short Sleeve Tee Royal Blue,5,89.583332
Google Stretch Fit Hat L/XL Navy,5,87.989999
Google Women's Softshell Jacket Black/Grey,1,87.79
Google Toddler Short Sleeve T-shirt Green,6,83.968333
Android Men's Heavyweight Long Sleeve Badge Tee Black,2,80.98
YouTube Sticker Sheet,22,73.260951
Android Infant Short Sleeve Tee Aqua,4,70.426666
YouTube Women's Racer Back Tank Black,4,68.926666
Google Infant Short Sleeve Tee Cornflower Blue,4,65.576666
Waze Women's Typography Short Sleeve Tee,3,56.703333
Waze Women's Short Sleeve Tee,3,50.915454
Waze Mood Happy Window Decal,13,49.619999
Google Red Spiral Notebook,6,49.082857
YouTube 24 oz Stripe Accent Bottle,5,48.188094
Google Toddler Short Sleeve T-shirt Yellow,3,47.836666
Android Women's Short Sleeve Badge Tee Dark Heather,4,38.79
Android Women's Short Sleeve Badge Tee Light Charcoal,2,35.68
Google Leather Journal (Black),1,33.847142
Android 14 oz Mug White/Green,2,31.98
Google Women's Colorblock Tee White,1,28.79
YouTube Men's Short Sleeve Hero Tee  White,1,19.99
Powerbank Flashlight,1,19.39
8pc Android Sticker Sheet,11,19.077301
Google Sunglasses Blue,5,17.257142
Google Women's Short Sleeve Hero Dark Grey,1,16.19
Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,1,16.19
Android 5-Panel Low Cap,1,15.307647
YouTube Notebook Set,2,15.151428
Google Sunglasses Yellow,2,10.5
Google Collapsible Pet Bowl Blue,1,4.79
Google Badge Pull,2,4.122857
Google Sunglasses Green,1,3.0
Screen Cleaning Cloth,1,2.323333
